gateStatus,id,severity,type,ruleId,ruleName,file,line,description,match
WARNING,llm-slop-SB-FICTION-001-ai-platform/web/simplebeacon-dashboard/js/workers/scan-worker.js-12291,medium,ai-placeholder-comment,SB-FICTION-001,,ai-platform/web/simplebeacon-dashboard/js/workers/scan-worker.js,1,ai-platform/web/simplebeacon-dashboard/js/workers/scan-worker.js:1 Unresolved LLM placeholder or conversational AI debris,AI Assistant Note:
WARNING,SB-QUAL-003-server/lib/assessment-retention.js-8,low,Deadweight Exported Function,SB-QUAL-003,,server/lib/assessment-retention.js,8,"server/lib/assessment-retention.js:8 Deadweight Exported Function: Exported function ""purgeExpiredAssessments"" has no call sites in this file",purgeExpiredAssessments
WARNING,SB-QUAL-003-ai-platform/server/api/assessment/routes.cjs-16,low,Deadweight Exported Function,SB-QUAL-003,,ai-platform/server/api/assessment/routes.cjs,16,"ai-platform/server/api/assessment/routes.cjs:16 Deadweight Exported Function: Exported function ""setupAssessmentRoutes"" has no call sites in this file",setupAssessmentRoutes
WARNING,SB-QUAL-003-ai-platform/server/bootstrap/phase2-integration.cjs-398,low,Deadweight Exported Function,SB-QUAL-003,,ai-platform/server/bootstrap/phase2-integration.cjs,398,"ai-platform/server/bootstrap/phase2-integration.cjs:398 Deadweight Exported Function: Exported function ""setupPhase2Integration"" has no call sites in this file",setupPhase2Integration
WARNING,SB-QUAL-003-ai-platform/server/bootstrap/phase2-integration.cjs-475,low,Deadweight Exported Function,SB-QUAL-003,,ai-platform/server/bootstrap/phase2-integration.cjs,475,"ai-platform/server/bootstrap/phase2-integration.cjs:475 Deadweight Exported Function: Exported function ""readDashboardSnapshot"" has no call sites in this file",readDashboardSnapshot
WARNING,SB-QUAL-003-ai-platform/server/bootstrap/public-api-routes.cjs-280,low,Deadweight Exported Function,SB-QUAL-003,,ai-platform/server/bootstrap/public-api-routes.cjs,280,"ai-platform/server/bootstrap/public-api-routes.cjs:280 Deadweight Exported Function: Exported function ""isPublicApiRequest"" has no call sites in this file",isPublicApiRequest
WARNING,SB-QUAL-003-ai-platform/server/config/arrays.cjs-12,low,Deadweight Exported Function,SB-QUAL-003,,ai-platform/server/config/arrays.cjs,12,"ai-platform/server/config/arrays.cjs:12 Deadweight Exported Function: Exported function ""countBy"" has no call sites in this file",countBy
WARNING,SB-QUAL-003-ai-platform/server/config/arrays.cjs-28,low,Deadweight Exported Function,SB-QUAL-003,,ai-platform/server/config/arrays.cjs,28,"ai-platform/server/config/arrays.cjs:28 Deadweight Exported Function: Exported function ""maxBy"" has no call sites in this file",maxBy
WARNING,SB-QUAL-003-ai-platform/server/config/arrays.cjs-49,low,Deadweight Exported Function,SB-QUAL-003,,ai-platform/server/config/arrays.cjs,49,"ai-platform/server/config/arrays.cjs:49 Deadweight Exported Function: Exported function ""minBy"" has no call sites in this file",minBy
WARNING,SB-QUAL-003-ai-platform/server/config/arrays.cjs-70,low,Deadweight Exported Function,SB-QUAL-003,,ai-platform/server/config/arrays.cjs,70,"ai-platform/server/config/arrays.cjs:70 Deadweight Exported Function: Exported function ""findIndex"" has no call sites in this file",findIndex
WARNING,SB-QUAL-003-ai-platform/server/config/arrays.cjs-101,low,Deadweight Exported Function,SB-QUAL-003,,ai-platform/server/config/arrays.cjs,101,"ai-platform/server/config/arrays.cjs:101 Deadweight Exported Function: Exported function ""mean"" has no call sites in this file",mean
WARNING,SB-QUAL-003-ai-platform/server/config/constants.cjs-249,low,Deadweight Exported Function,SB-QUAL-003,,ai-platform/server/config/constants.cjs,249,"ai-platform/server/config/constants.cjs:249 Deadweight Exported Function: Exported function ""getNamespace"" has no call sites in this file",getNamespace
WARNING,SB-QUAL-003-ai-platform/server/config/constants.cjs-269,low,Deadweight Exported Function,SB-QUAL-003,,ai-platform/server/config/constants.cjs,269,"ai-platform/server/config/constants.cjs:269 Deadweight Exported Function: Exported function ""isNamespace"" has no call sites in this file",isNamespace
WARNING,SB-QUAL-003-ai-platform/server/config/constants.cjs-279,low,Deadweight Exported Function,SB-QUAL-003,,ai-platform/server/config/constants.cjs,279,"ai-platform/server/config/constants.cjs:279 Deadweight Exported Function: Exported function ""getExportsByNamespace"" has no call sites in this file",getExportsByNamespace
WARNING,SB-QUAL-003-ai-platform/server/config/constants.cjs-322,low,Deadweight Exported Function,SB-QUAL-003,,ai-platform/server/config/constants.cjs,322,"ai-platform/server/config/constants.cjs:322 Deadweight Exported Function: Exported function ""toJSON"" has no call sites in this file",toJSON
WARNING,SB-QUAL-003-ai-platform/server/config/constants.cjs-341,low,Deadweight Exported Function,SB-QUAL-003,,ai-platform/server/config/constants.cjs,341,"ai-platform/server/config/constants.cjs:341 Deadweight Exported Function: Exported function ""describeExport"" has no call sites in this file",describeExport
WARNING,SB-QUAL-003-ai-platform/server/config/constants.cjs-362,low,Deadweight Exported Function,SB-QUAL-003,,ai-platform/server/config/constants.cjs,362,"ai-platform/server/config/constants.cjs:362 Deadweight Exported Function: Exported function ""searchExports"" has no call sites in this file",searchExports
WARNING,SB-QUAL-003-ai-platform/server/config/constants.cjs-374,low,Deadweight Exported Function,SB-QUAL-003,,ai-platform/server/config/constants.cjs,374,"ai-platform/server/config/constants.cjs:374 Deadweight Exported Function: Exported function ""batchResolve"" has no call sites in this file",batchResolve
WARNING,SB-QUAL-003-ai-platform/server/config/constants.cjs-393,low,Deadweight Exported Function,SB-QUAL-003,,ai-platform/server/config/constants.cjs,393,"ai-platform/server/config/constants.cjs:393 Deadweight Exported Function: Exported function ""getExportsByType"" has no call sites in this file",getExportsByType
WARNING,SB-QUAL-003-ai-platform/server/config/constants.cjs-408,low,Deadweight Exported Function,SB-QUAL-003,,ai-platform/server/config/constants.cjs,408,"ai-platform/server/config/constants.cjs:408 Deadweight Exported Function: Exported function ""assertIntegrity"" has no call sites in this file",assertIntegrity
WARNING,SB-QUAL-003-ai-platform/server/config/database.cjs-82,low,Deadweight Exported Function,SB-QUAL-003,,ai-platform/server/config/database.cjs,82,"ai-platform/server/config/database.cjs:82 Deadweight Exported Function: Exported function ""getDatabaseConfig"" has no call sites in this file",getDatabaseConfig
WARNING,SB-QUAL-003-ai-platform/server/config/database.cjs-149,low,Deadweight Exported Function,SB-QUAL-003,,ai-platform/server/config/database.cjs,149,"ai-platform/server/config/database.cjs:149 Deadweight Exported Function: Exported function ""isDatabaseEnabled"" has no call sites in this file",isDatabaseEnabled
WARNING,SB-QUAL-003-ai-platform/server/config/encoding.cjs-16,low,Deadweight Exported Function,SB-QUAL-003,,ai-platform/server/config/encoding.cjs,16,"ai-platform/server/config/encoding.cjs:16 Deadweight Exported Function: Exported function ""clamp"" has no call sites in this file",clamp
WARNING,SB-QUAL-003-ai-platform/server/config/encoding.cjs-26,low,Deadweight Exported Function,SB-QUAL-003,,ai-platform/server/config/encoding.cjs,26,"ai-platform/server/config/encoding.cjs:26 Deadweight Exported Function: Exported function ""isValidEncoding"" has no call sites in this file",isValidEncoding
WARNING,SB-QUAL-003-ai-platform/server/config/encoding.cjs-40,low,Deadweight Exported Function,SB-QUAL-003,,ai-platform/server/config/encoding.cjs,40,"ai-platform/server/config/encoding.cjs:40 Deadweight Exported Function: Exported function ""getEncodingForExt"" has no call sites in this file",getEncodingForExt
WARNING,SB-QUAL-003-ai-platform/server/config/env.cjs-6,low,Deadweight Exported Function,SB-QUAL-003,,ai-platform/server/config/env.cjs,6,"ai-platform/server/config/env.cjs:6 Deadweight Exported Function: Exported function ""isDevelopment"" has no call sites in this file",isDevelopment
WARNING,SB-QUAL-003-ai-platform/server/config/env.cjs-14,low,Deadweight Exported Function,SB-QUAL-003,,ai-platform/server/config/env.cjs,14,"ai-platform/server/config/env.cjs:14 Deadweight Exported Function: Exported function ""isProduction"" has no call sites in this file",isProduction
WARNING,SB-QUAL-003-ai-platform/server/config/env.cjs-22,low,Deadweight Exported Function,SB-QUAL-003,,ai-platform/server/config/env.cjs,22,"ai-platform/server/config/env.cjs:22 Deadweight Exported Function: Exported function ""isTest"" has no call sites in this file",isTest
WARNING,SB-QUAL-003-ai-platform/server/config/env.cjs-30,low,Deadweight Exported Function,SB-QUAL-003,,ai-platform/server/config/env.cjs,30,"ai-platform/server/config/env.cjs:30 Deadweight Exported Function: Exported function ""isStaging"" has no call sites in this file",isStaging
WARNING,SB-QUAL-003-ai-platform/server/config/env.cjs-38,low,Deadweight Exported Function,SB-QUAL-003,,ai-platform/server/config/env.cjs,38,"ai-platform/server/config/env.cjs:38 Deadweight Exported Function: Exported function ""isCI"" has no call sites in this file",isCI
WARNING,SB-QUAL-003-ai-platform/server/config/env.cjs-61,low,Deadweight Exported Function,SB-QUAL-003,,ai-platform/server/config/env.cjs,61,"ai-platform/server/config/env.cjs:61 Deadweight Exported Function: Exported function ""envInt"" has no call sites in this file",envInt
WARNING,SB-QUAL-003-ai-platform/server/config/env.cjs-74,low,Deadweight Exported Function,SB-QUAL-003,,ai-platform/server/config/env.cjs,74,"ai-platform/server/config/env.cjs:74 Deadweight Exported Function: Exported function ""envFloat"" has no call sites in this file",envFloat
